Location,PricePSF,LocationPremium
Abul Fazal Enclave Jamia Nagar,14888.888888888889,6.130718954248366
Alaknanda,11856.883258820646,4.882246047749678
Alaknanda Gangotri Enclave,13250.0,5.455882352941177
Anand Lok,3062.5,1.2610294117647058
Anand Niketan,2500.0,1.0294117647058825
Anarkali Colony,14430.01443001443,5.941770647653001
Ansal Satbari,2914.238134887594,1.199980408483127
Azad Apartments,10833.333333333334,4.46078431372549
Babarpur,6040.723981900452,2.4873569337237154
Badarpur,8028.654485049833,3.3059165526675787
Bamnoli Sector 28 Dwarka,10000.0,4.11764705882353
Batla House Jamia Nagar,12500.0,5.147058823529412
Bharat Vihar,4228.095515595514,1.7409805064216826
Bharthal,11600.0,4.776470588235294
Bindapur,5687.074911548031,2.3417367282844834
Block GH5,14666.666666666666,6.03921568627451
Block SD Delhi,5555.555555555556,2.2875816993464055
Budh Vihar,7328.703703703704,3.0177015250544668
Burari,4760.25963946417,1.9601069103675994
CVD Line,4990.925589836661,2.0550870075798016
Chanakya Puri,4090.909090909091,1.6844919786096257
Chattarpur,4446.998211237566,1.831116910509586
Chhattarpur Enclave Phase1,14166.666666666666,5.833333333333333
Chittaranjan Park,13218.257583081502,5.442811945974737
DLF Farms,5240.7754846779235,2.1579663760438508
DLF Golf Course,9729.72972972973,4.006359300476948
DLF Phase 5,8150.78960774325,3.356207485541338
Dabri,6333.333333333333,2.607843137254902
Dashrath Puri,5538.461538461538,2.2805429864253393
Delhi Meerut Expressway,6119.578769603648,2.5198265521897376
Dwarka 11 Sector,2972.972972972973,1.2241653418124008
Dwarka Mor,5758.268834175819,2.371051872895926
Dwarka Sector 3 Road 9,8301.1583011583,3.4181240063593004
Dwarka Sector3,9444.444444444445,3.8888888888888893
Dwarka sec 6,10277.777777777777,4.23202614379085
East of Kailash,10375.992063492064,4.2724673202614385
Faridabad Gurgaon Road,15000.0,6.176470588235294
Ghitorni,2676.056338028169,1.1019055509527755
Govindpuri,4607.046437231915,1.8970191212131415
Greater Kailash,4064.8274829953734,1.673752492998095
Greater Kailash 2,7894.736842105263,3.2507739938080498
Greater kailash 1,7504.555555555557,3.0901111111111117
Gulmohar Enclave,8833.333333333334,3.6372549019607847
Gurgaon Delhi Expressway,10874.80291246656,4.477860022780349
Hari Nagar,5408.002346004915,2.226824495413789
Hauz Khas,6370.2335818246365,2.6230373572219094
Hauz Khas Enclave,8305.647840531561,3.4199726402188784
IP Extension,4000.0,1.647058823529412
Jamia Nagar,4329.578811937115,1.782767746091753
Jasola,9552.974679929484,3.933577809382729
Jasola Vihar Sector 8 Road,8331.024686416988,3.430421929701113
Jogabai Extension New Delhi,3535.3535353535353,1.4557338086749851
Jor bagh,5632.360471070148,2.3192072527935905
KMP Expressway,10000.0,4.11764705882353
Kailash Colony,16363.636363636364,6.737967914438503
Kalkaji,11458.37784429429,4.718155582944708
Kalkaji Extension,12500.0,5.147058823529412
Kalkaji Govindpuri,8916.666666666666,3.6715686274509802
Kamla Nagar,3997.3351099267156,1.6459615158521772
KarKardooma,11517.615176151761,4.742547425474255
Karampura,10563.38028169014,4.3496271748135875
Karol Bagh,7814.014695440091,3.217535462828273
Katwaria Sarai,3733.3333333333335,1.5372549019607844
Kaushambi,4025.3846153846152,1.6575113122171945
Khanpur,3733.3333333333335,1.5372549019607844
Khanpur Deoli,4444.444444444444,1.8300653594771243
Khari Baoli Road,7454.068241469817,3.069322217075807
Krishna Nagar,10204.081632653062,4.201680672268908
Krishna Park Jawahar Park,13761.467889908257,5.666486778197518
Kundli,7675.17036825615,3.1603642692819442
Lajpat Nagar,10944.444444444445,4.506535947712419
Lajpat Nagar 3,11109.52380952381,4.574509803921568
Lalita Park,6461.538461538462,2.6606334841628962
MBS Nagar Block WZ,13888.888888888889,5.718954248366013
Madhu Vihar,5092.592592592593,2.0969498910675384
Mahavir Enclave,5679.639448870219,2.338675067181855
Mahipalpur,3598.0392156862745,1.4815455594002307
Mandi House,6349.206349206349,2.6143790849673203
Mansa Ram Park,5332.457296439754,2.195717710298722
Masjid moth,6363.636363636364,2.6203208556149735
Matiala,5444.444444444444,2.241830065359477
Mayur Vihar,8609.942786258574,3.5452705590476485
Mayur Vihar 2,9664.64386917892,3.979559240250144
Mayur Vihar 3,8727.272727272728,3.5935828877005354
Mayur Vihar Phase 2,9441.176470588234,3.8875432525951554
Meera Bagh,14545.454545454546,5.9893048128342254
Mehrauli,6401.2037037037035,2.635789760348584
Model Town,9634.146341463415,3.96700143472023
Moti Nagar,9310.344827586207,3.8336713995943206
Mundka,4485.436203466894,1.8469443190746035
Munirka,5173.089646071013,2.1300957366174758
Munirka Marg,3200.0,1.3176470588235294
Munirka Vihar,11305.732484076432,4.655301611090296
Nanak Heri Village,9818.819403857393,4.043043283941279
Nanak Pura,2873.5632183908046,1.1832319134550373
Naraina,3612.5,1.4875
Nasirpur,6111.111111111111,2.516339869281046
Nawada Extension,5000.0,2.058823529411765
Neb Sarai,6238.666666666667,2.5688627450980395
New Ashok Nagar,4505.092360345077,1.855038030730326
New Ashok Nagar Block E,5357.142857142857,2.2058823529411766
New Manglapuri,3268.0,1.3456470588235294
Nirman Vihar,12240.800671221383,5.040329688149981
Noida,3136.9913166105566,1.291702306839641
Noida Road,2872.09375,1.1826268382352942
Okhla,4518.324002479938,1.8604863539623275
Om Nagar,6083.252938305373,2.5048688569492716
Om Vihar,7006.256722833249,2.884929238813691
Palam,8015.846615846616,3.3006427241721363
Park End,6349.206349206349,2.6143790849673203
Paryavaran Complex,10027.777777777777,4.129084967320262
Paschim Vihar,9564.307062371137,3.9382440845057625
Patparganj,7332.210242587601,3.0191453940066593
Phase 2 Chattarpur Enclave,7751.937984496124,3.1919744642042867
Pitampura,7971.995128018903,3.2825862291842545
Pitampura Vaishali,3555.5555555555557,1.4640522875816995
Pochanpur Colony,8309.941520467835,3.421740626074991
Pontoon Bridge,8900.0,3.6647058823529415
Pratap Khand,3726.027397260274,1.534246575342466
Preet Vihar,5768.840993806762,2.375405115096902
Press Enclave,3076.923076923077,1.2669683257918554
Punjabi Bagh,6646.031746031746,2.7366013071895425
Rajpur,3585.5263157894733,1.476393188854489
Rama Park,5628.010859262026,2.317416236166717
Residential FlatSeelamPur,2755.5555555555557,1.1346405228758172
Rohini Extension,8363.636363636364,3.4438502673796796
Rohini Sector 9,11130.091191289503,4.58297872582509
Rohini sector 24,9411.002962644696,3.8751188669713454
SULTANPUR,4266.666666666667,1.7568627450980394
Sadulajab,14583.333333333334,6.004901960784315
Safdarjung Enclave,16666.666666666668,6.862745098039216
Saidabad,9285.714285714286,3.8235294117647065
Sainik Farms,4099.4708994709,1.6880174291939
Saket,10653.245224312162,4.386630386481479
Sarita Vihar,9638.588657036815,3.9688306234857476
Sector 1 Dwarka,2615.3846153846152,1.0769230769230769
Sector 10 Dwarka,8925.75429586649,3.675310592415614
Sector 11 Dwarka,9247.985186174948,3.8079939001896848
Sector 12 Dwarka,8776.046723410447,3.6136662978748904
Sector 13 Dwarka,8690.784532102994,3.578558336748292
Sector 13 Rohini,10689.756174055203,4.401664306963907
Sector 14 Dwarka,15384.615384615385,6.334841628959277
Sector 15 Rohini,9133.03507208306,3.7606615002694954
Sector 16B Dwarka,9722.222222222223,4.003267973856209
Sector 17 Dwarka,8944.444444444445,3.683006535947713
Sector 18 Dwarka,8585.717309865919,3.5352953628859667
Sector 18A Dwarka,8721.841935863591,3.5913466794732436
Sector 18B Dwarka,10400.0,4.2823529411764705
Sector 19 Dwarka,9356.663298791678,3.852743711267162
Sector 19B Dwarka,7773.109243697479,3.2006920415224913
Sector 1A Dwarka,2428.5714285714284,1.0
Sector 2 Dwarka,8028.592866406129,3.305891180284877
Sector 20 Rohini,6933.333333333333,2.854901960784314
Sector 21 Dwarka,8666.666666666666,3.568627450980392
Sector 22 Dwarka,9105.137385586268,3.7491742175943457
Sector 22 Rohini,6439.0632763375625,2.6513789961389964
Sector 23 Dwarka,9228.351578613278,3.799909473546644
Sector 23 Rohini,6798.870676097041,2.7995349842752524
Sector 23B Dwarka,8947.368421052632,3.68421052631579
Sector 24 Rohini,8075.03243458448,3.325013355417139
Sector 25 Rohini,10277.777777777777,4.23202614379085
Sector 3 Dwarka,8279.108496012572,3.409044674828706
Sector 33 Rohini,6157.024793388429,2.5352455031599415
Sector 37 Rohini,3413.3333333333335,1.4054901960784316
Sector 4 Dwarka,9222.225650777791,3.797387032673208
Sector 4 Rohini,6666.666666666667,2.7450980392156867
Sector 5 Dwarka,8383.155927399152,3.4518877348114154
Sector 6 Dwarka,9159.472611597965,3.7715475459521035
Sector 7 Dwarka,8722.277652682533,3.5915260922810432
Sector 75 Road 22,7505.773672055428,3.0906126884934113
Sector 77 Road 6,4334.3653250774,1.7847386632671647
Sector 78 Road 6,11574.074074074075,4.765795206971678
Sector 79 Road 23,3846.153846153846,1.5837104072398192
Sector 8 Dwarka Block B,5263.1578947368425,2.1671826625387
Sector 8 Rohini,9671.17988394584,3.9822505404482875
Sector 85 Road 22,5678.233438485804,2.338096121729449
Sector 86 Road 21,9067.357512953367,3.7336177994513866
Sector 9 Dwarka,8258.235488262346,3.4004499069315544
Sector 9 Rohini,13211.862211862212,5.440178557825617
Sector-14 Rohini,12908.045977011492,5.315077755240027
Sector-7 Rohini,10777.777777777777,4.437908496732026
Sector-D Vasant Kunj,15517.241379310344,6.389452332657201
Sewak Park,6166.947530864198,2.5393313362381993
Shahdara,6329.349202416835,2.6062026127598736
Shaheen Bagh Jamia Nagar,6534.097384097385,2.6905106875695117
Shakti Nagar,13306.71989354624,5.479237603224923
Shakurbasti,5103.202846975089,2.101318819342684
Shankar Vihar,3568.8793718772304,1.4695385648906243
Shanti Park Dwarka,8133.966181197973,3.349280192257989
Shastri Nagar,8923.752834467121,3.674486461251168
Sheikh Sarai,8377.391130434782,3.4495139948849105
Sheikh Sarai Phase2 New Delhi,8883.186813186814,3.6577828054298647
Shivalik,3333.3333333333335,1.3725490196078434
Sidhartha Nagar,8636.363636363636,3.556149732620321
Som Vihar,4600.0,1.8941176470588237
South Delhi,10714.285714285714,4.411764705882353
South Extension 2,10048.58934169279,4.137654434814679
Sushant Lok Phase 1 Barakhamba,2555.5555555555557,1.0522875816993464
Tagore Garden Extension,7222.222222222223,2.9738562091503273
Transit Camp,4111.111111111111,1.69281045751634
Uttam Nagar,5170.133007365426,2.12887829715047
Vaishali,6394.052044609665,2.6328449595451566
Vasant Kunj,10440.34433424921,4.298965314102616
Vasant Kunj Marg,7142.857142857143,2.9411764705882355
Vasant Vihar,4986.111111111111,2.053104575163399
Vasundhara Enclave,6568.184574339073,2.704546589433736
Vijay Mandal Enclave,5416.666666666667,2.230392156862745
Vikas Puri,8245.800489307127,3.3953296132441113
Vishal Enclave,5282.506259734627,2.175149636361317
West End,7957.79452999253,3.2767389241145715
West Punjabi Bagh,5758.567232922496,2.371174742968087
West Sagarpur,5833.333333333333,2.4019607843137254
Zakir Nagar,15277.777777777777,6.290849673202614
greater kailash Enclave 1,11515.151515151516,4.741532976827095
i p extension patparganj,11607.37812911726,4.779508641401225
mayur vihar phase 1,7700.73599240266,3.1708912909893305
nawada,5772.095674304582,2.3767452776548277
param puri,8001.895328931278,3.2948980766187614
vikaspuri,8611.111111111111,3.5457516339869284
